player_id,name,svpts,aces,df,pct_1stIn,pct_1stWon,pct_2ndWon,pct_SvPtsWon,bp_faced,pct_bp_conv,pct_bp_saved,pct_1stRetPtsWon,pct_2ndRetPtsWon,Grass winRt,Hard winRt,Clay winRt,G winRt,A winRt,M winRt,F winRt,O winRt,recPerf
103794,Benjamin Becker,31917.0,3299.0,1232.0,0.567,0.748,0.498,0.639,2522.0,0.38,0.588,0.28,0.467,0.566,0.421,0.264,0.355,0.465,0.329,0.0,0.0,0.18299126612291927
202103,Francisco Cerundolo,11749.0,410.0,466.0,0.65,0.666,0.494,0.606,1158.0,0.407,0.613,0.325,0.511,0.583,0.451,0.561,0.471,0.518,0.568,0.0,0.0,0.4932905957995262
144760,Amine Ahouda,254.0,3.0,16.0,0.567,0.667,0.455,0.575,21.0,0.357,0.476,0.236,0.394,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.15724207427765213
202104,Sebastian Baez,11076.0,273.0,256.0,0.722,0.643,0.529,0.612,1038.0,0.411,0.592,0.292,0.518,0.429,0.36,0.637,0.438,0.606,0.321,0.0,0.0,0.5711341648851583
103799,Eric Prodon,1227.0,56.0,42.0,0.592,0.616,0.477,0.559,149.0,0.244,0.57,0.204,0.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103805,Catalin Gard,64.0,3.0,4.0,0.734,0.681,0.353,0.594,5.0,0.5,0.4,0.17,0.522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103808,Potito Starace,27834.0,925.0,498.0,0.725,0.655,0.514,0.616,2566.0,0.398,0.608,0.246,0.481,0.083,0.276,0.518,0.171,0.507,0.294,0.0,0.0,0.4677381397344577
103812,Victor Hanescu,30850.0,1896.0,590.0,0.699,0.694,0.507,0.638,2593.0,0.365,0.62,0.24,0.479,0.385,0.36,0.536,0.471,0.479,0.359,0.0,0.5,0.1900177844570865
103813,Jarkko Nieminen,47494.0,1946.0,1232.0,0.66,0.681,0.503,0.62,4268.0,0.415,0.605,0.264,0.512,0.431,0.537,0.48,0.489,0.539,0.442,0.0,0.333,0.3515741420482005
103817,Yu Jr Wang,230.0,9.0,11.0,0.73,0.673,0.403,0.6,19.0,0.333,0.632,0.173,0.595,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,0.1989700043360188
202122,Yuta Shimizu,58.0,1.0,3.0,0.5,0.517,0.414,0.466,7.0,0.2,0.286,0.276,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103819,Roger Federer,88487.0,9210.0,1722.0,0.629,0.781,0.579,0.706,4633.0,0.412,0.678,0.347,0.512,0.889,0.859,0.788,0.879,0.902,0.808,0.75,0.8,0.698212485039905
103820,Alan Mackin,837.0,23.0,36.0,0.661,0.622,0.408,0.55,113.0,0.409,0.575,0.188,0.502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103821,Danai Udomchoke,5115.0,220.0,233.0,0.617,0.668,0.461,0.589,540.0,0.364,0.567,0.26,0.491,0.312,0.256,0.0,0.308,0.245,0.0,0.0,0.0,0.1233296360150693
103822,Scott Lipsky,77.0,8.0,3.0,0.623,0.688,0.517,0.623,4.0,1.0,0.25,0.25,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103823,Denis Gremelmayr,6582.0,351.0,232.0,0.573,0.661,0.49,0.588,725.0,0.382,0.588,0.296,0.464,0.2,0.327,0.467,0.231,0.384,0.333,0.0,0.0,0.1627132578083404
210319,Ethan Quinn,407.0,32.0,15.0,0.609,0.694,0.409,0.582,44.0,0.333,0.591,0.27,0.437,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.10308998699194362
210317,James Mccabe,169.0,14.0,4.0,0.586,0.606,0.471,0.55,14.0,0.286,0.214,0.283,0.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202130,Emil Reinberg,59.0,4.0,1.0,0.407,0.583,0.343,0.441,9.0,0.0,0.444,0.0,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103830,Shao Xuan Zeng,338.0,9.0,14.0,0.615,0.558,0.423,0.506,50.0,0.364,0.52,0.231,0.484,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0,0.0
103835,Filippo Volandri,21629.0,196.0,695.0,0.69,0.613,0.486,0.574,2438.0,0.421,0.553,0.278,0.515,0.111,0.119,0.496,0.176,0.443,0.4,0.0,0.0,0.1811546336636534
144797,Carl Soderlund,139.0,3.0,5.0,0.597,0.639,0.429,0.554,17.0,0.316,0.412,0.313,0.515,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
103837,Didac Perez,42.0,1.0,6.0,0.524,0.591,0.15,0.381,8.0,0.0,0.25,0.455,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103843,Marco Chiudinelli,12690.0,643.0,457.0,0.599,0.699,0.507,0.622,1121.0,0.367,0.598,0.256,0.471,0.353,0.34,0.371,0.458,0.352,0.0,0.0,0.0,0.16388494025053932
210340,Philip Sekulic,257.0,11.0,8.0,0.638,0.671,0.452,0.591,33.0,0.348,0.606,0.262,0.515,0.0,0.333,0.0,0.0,0.5,0.0,0.0,0.0,0.5
103849,Francesco Aldi,418.0,3.0,24.0,0.715,0.592,0.412,0.541,62.0,0.32,0.548,0.321,0.506,0.0,0.0,0.167,0.0,0.143,0.0,0.0,0.0,0.08748542061904185
103850,Sebastian Decoud,646.0,26.0,18.0,0.697,0.649,0.444,0.587,73.0,0.447,0.603,0.213,0.446,0.0,0.0,0.571,0.5,0.5,0.0,0.0,0.0,0.20345178613397702
103851,Conor Niland,326.0,17.0,22.0,0.635,0.643,0.378,0.546,36.0,0.429,0.444,0.261,0.474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
