player_id,hand,dob,ioc,height,wikidata_id,name
100221,R,19500923.0,BRA,173.0,Q1042999,Carlos Kirmayr
100222,R,19500924.0,USA,,,Mike Powers
100223,R,19501029.0,NZL,,Q6174987,Jeff Simpson
100224,R,19501110.0,AUS,,,Peter Campbell
100225,R,19501117.0,AUS,,Q18010763,Peter Doerner
100226,R,19510127.0,USA,,Q13512805,Mike Machette
100227,R,19510211.0,AUS,,Q22959202,Alvin Gardiner
100228,R,19510212.0,SWE,,Q5886813,Kjell Johansson
100229,R,19510218.0,USA,188.0,Q967423,Dick Stockton
100230,R,19510219.0,CAN,,,Welry Fritz
100231,R,19510221.0,USA,183.0,Q1259691,Erik Van Dillen
100232,R,19510223.0,USA,170.0,Q1282765,Eddie Dibbs
100233,R,19510226.0,ARG,170.0,Q3430221,Ricardo Cano
100234,R,19510301.0,AUS,,Q16855281,Allan McDonald
100235,R,19510301.0,ESP,,Q4776822,Antonio Munoz
100236,R,19510307.0,AUS,183.0,Q6241493,John James
100237,R,19510309.0,RSA,,,Bill Freer
100238,R,19510329.0,USA,,Q7331389,Rick Fisher
100239,R,19510422.0,GER,,Q1566665,Hans Engert
100240,R,19510425.0,BRA,185.0,Q6298385,Joao Soares
100241,R,19510425.0,USA,,Q22095303,Joel Bailey
100242,R,19510501.0,GBR,,,Mike Collins
100243,R,19510530.0,USA,175.0,Q7613081,Steve Krulevitz
100244,R,19510704.0,AUS,190.0,Q1281683,John Alexander
100245,R,19510705.0,USA,,Q6173248,Jeff Austin
100246,R,19510709.0,RSA,,Q62513964,Frank Puncec
100247,L,19510727.0,NED,190.0,Q1821050,Rolf Thung
100248,R,19510730.0,SUI,,,Max Hurlimann
100249,R,19510803.0,ITA,175.0,Q484985,Paolo Bertolucci
100250,R,19510824.0,USA,173.0,Q87495855,Woody Blocher
100251,R,19510827.0,USA,,,Grover Raz Reid
100252,R,19510908.0,USA,180.0,Q962989,Tim Gullikson
100253,L,19510908.0,USA,180.0,Q1855348,Tom Gullikson
100254,R,19511001.0,USA,188.0,,George Glowa
100255,L,19511015.0,USA,183.0,Q54681,Roscoe Tanner
100256,R,19511021.0,MEX,,,Luis Baraldi
100257,R,19511101.0,AUS,,Q1260196,Ross Case
100258,R,19511102.0,VEN,,Q11705726,Jorge Andrew
100259,R,19511130.0,AUT,183.0,Q3376565,Peter Feigl
100260,R,19520103.0,USA,,,Gary Groslimond
100261,R,19520127.0,USA,183.0,Q912255,Brian Gottfried
100262,R,19520131.0,SWE,,Q3440373,Rolf Norberg
100263,R,19520205.0,USA,,Q3180915,John Andrews
100264,R,19520207.0,YUG,,,Lajos Levai
100265,R,19520209.0,AUS,,Q2979053,Cliff Letcher
100266,R,19520216.0,GBR,190.0,Q6232841,John Feaver
100267,R,19520229.0,RSA,,Q18030745,Rayno Seegers
100268,R,19520314.0,FRA,,Q5802672,Denis Naegelen
100269,R,19520317.0,USA,,,Joe Garcia
100270,R,19520320.0,IND,185.0,Q2698644,Anand Amritraj
100271,L,19520331.0,FRA,,Q3165519,Jean Francois Caujolle
100272,R,19520405.0,USA,178.0,Q2096054,Sandy Mayer
100273,R,19520408.0,AUS,183.0,Q1741596,Kim Warwick
100274,R,19520417.0,FRA,178.0,Q3591073,Eric Deblicker
100275,R,19520423.0,GER,,Q22278629,Hartmut Kirchhubel
100276,L,19520423.0,USA,178.0,Q716901,Terry Moor
100277,R,19520523.0,FRA,,Q13365306,Jacques Thamin
